Tf,Target
1498,2124
9783,5473
9783,9042
9783,8175
5660,7555
9787,5758
5468,5591
1879,12748
1879,5763
1879,11464
1879,5941
1879,1336
1879,5162
1879,5273
1879,4475
1879,6592
1879,6309
6720,2701
8731,6737
2255,5454
4825,6868
6668,6216
8467,5755
6660,1463
6660,6190
6660,5643
5081,6072
6403,5510
8004,6426
5874,5083
9408,2179
1334,4971
6034,5867
8066,6737
7857,4796
7857,5019
7857,4001
7857,6422
7857,6233
7857,3606
9783,1924
629,6953
5847,6444
10218,2212
6307,12549
629,5636
5603,6183
2500,2403
8922,2403
11416,4954
4364,5028
6562,2101
449,482
5013,4868
2316,7252
6644,8509
6644,5759
2313,4839
6380,4416
4825,4951
1938,315
6029,5759
5081,6419
1643,6069
6231,7248
4825,4487
6251,743
2235,2124
332,5742
8922,5742
2500,5742
663,5742
1352,5742
4762,5742
1483,5908
6185,6275
6403,1353
7316,4846
2188,5590
1483,5193
8922,7601
2255,545
2255,5170
4711,9042
4711,8175
4711,5473
146,1002
4526,5080
6718,5909
2440,6494
6718,2784
7947,6604
7947,9408
7947,5086
7947,7897
7947,167
7947,5136
7947,1801
7947,8932
7947,5888
6034,7755
6660,4508
11416,5679
5769,6183
3785,2229
2230,5080
6488,8147
1879,2440
6307,3310
5995,2124
4825,9783
5603,7766
2124,2395
5081,11812
6994,5590
7593,7008
6523,6410
8589,2124
5081,5877
5013,642
1483,6082
7029,6275
5603,2661
8709,4550
4477,4550
8731,9887
6644,5095
12549,445
6660,4447
629,8457
5603,6696
6644,6509
5058,4505
6555,6277
5687,6277
2212,5751
629,7101
6410,6103
5751,6236
6029,5095
6403,5480
6644,5756
6029,6509
6034,433
5120,1078
4825,7496
6029,5756
11416,4474
4825,4797
4825,2091
6403,5115
4468,1411
4468,6229
8467,4909
8467,10203
1726,1938
5769,2661
10218,5373
5822,461
10218,2389
6718,6927
1334,4846
5081,6437
5013,745
6374,10172
2500,5931
663,5931
1313,5647
8922,5931
9299,6191
4825,5753
629,100
7316,4419
9408,8697
1483,6789
4825,5838
2440,7252
9299,6542
2161,6336
449,6191
4825,102
5757,743
9787,7460
2255,4971
4364,1352
4364,4416
1002,7069
1313,6081
6374,6135
7738,6737
6660,4481
6660,1981
7857,8175
7857,9042
7593,5503
2338,6303
1938,5751
5638,5083
9299,2580
2440,6523
4825,7746
7316,6074
6034,5815
8004,9032
1669,5498
4364,2423
2500,710
8922,710
9783,5758
4825,4655
4825,6979
5603,2179
8922,4469
7316,3201
2255,5085
6644,6577
7029,3191
6034,11983
6034,3089
6034,4982
6034,6011
6034,1170
6034,4529
7593,10339
1313,1399
1483,1203
7490,1399
7759,743
440,445
7490,5647
6029,6577
6374,5500
5258,6012
3999,2115
4671,3849
8818,234
8922,6101
663,6101
1352,6101
332,6101
2500,6101
5759,5454
5822,8748
11416,6595
2255,7197
1334,4419
4825,2143
663,7739
2500,7739
8922,7739
4762,7739
1352,7739
332,7739
1701,6637
5350,6637
6969,6637
4422,6637
2151,6637
7490,6081
6718,5593
454,6737
8922,7578
5643,6131
663,8265
8922,8265
2500,8265
5769,2179
6034,6178
8731,5591
8922,6006
332,6006
1352,6006
2500,6006
4762,6006
663,6006
7316,1658
6720,2115
1334,3201
6307,6012
146,6005
144,1463
144,5643
144,6190
2437,1371
1313,6297
1334,6074
330,2334
8467,6455
7355,5804
4711,5758
5979,2124
5630,2124
3743,2124
11416,4486
5903,4335
5542,5083
5847,1078
7738,9887
5704,3999
2440,8591
629,3083
629,6321
6251,4505
2212,5742
5058,6183
5759,5170
6488,1721
6374,7461
7355,2078
3999,2455
6185,6444
146,1380
6718,5866
4335,6665
7029,5874
8004,4327
8028,3999
3327,5635
5475,2482
1334,1658
144,4508
5013,2438
3999,10218
3999,4985
1483,7963
5603,8697
6720,2455
6718,5755
6718,331
1313,7784
11416,4986
146,4366
7490,6297
1463,8681
3327,449
