gene,R_score
14651,1.68436312617965e-07
8441,1.6824307753449449e-07
14032,1.6666436107710014e-07
9831,1.626111805100573e-07
9753,1.6131607231737815e-07
8029,1.6068167872459627e-07
6467,1.6055254638081115e-07
8077,1.601643651433314e-07
7625,1.5887385951673617e-07
10202,1.5857106298026208e-07
14973,1.5837315054247555e-07
16491,1.576577352487721e-07
7257,1.5653822782528863e-07
15991,1.564153240563378e-07
12415,1.55813896084068e-07
12535,1.5447706459143343e-07
10891,1.5441135449662622e-07
8477,1.5421095024826192e-07
1256,1.5400983991138155e-07
8648,1.539771128981338e-07
8172,1.5390120050691148e-07
1611,1.5213083701814934e-07
14944,1.507101218869653e-07
6763,1.5014197199073814e-07
7440,1.5003841213335165e-07
16227,1.494169197681621e-07
17251,1.491492964382352e-07
6791,1.4881167897937734e-07
16651,1.4875882079808474e-07
9629,1.481274113940867e-07
14211,1.4754151068376227e-07
2870,1.475020170160379e-07
3483,1.4630028368889648e-07
14652,1.4610462503016879e-07
1310,1.4588166691324966e-07
17161,1.4527136924036846e-07
14807,1.4446675968970546e-07
6757,1.441292445310851e-07
1018,1.4389564030483982e-07
15623,1.4389459473971733e-07
14656,1.4102438503361006e-07
6612,1.4042283752264382e-07
1444,1.4038462918751623e-07
15188,1.4038108875469608e-07
5280,1.4004958811349238e-07
3344,1.39619488781164e-07
10208,1.3914250549969472e-07
13432,1.3881344630798046e-07
11348,1.375799406181611e-07
3158,1.366810057345008e-07
9642,1.362625987977853e-07
10900,1.3549627813648463e-07
6670,1.3546560224268578e-07
3784,1.354332603032183e-07
11425,1.352176295630694e-07
14193,1.346534720214897e-07
17706,1.3462777719614566e-07
11970,1.3343113112396435e-07
14437,1.323369541896522e-07
7637,1.322302522774757e-07
3712,1.3193762521483722e-07
17659,1.318577043328467e-07
3936,1.31723913733988e-07
15419,1.3166267973705597e-07
8920,1.3118837650156049e-07
16966,1.3040340264342564e-07
3586,1.2962256218392656e-07
9315,1.2913623984496647e-07
10440,1.2850229652657898e-07
6157,1.2835060767866322e-07
13267,1.2815474066975134e-07
11725,1.2800168133219504e-07
14430,1.2799501506863265e-07
9749,1.271300256468695e-07
10902,1.270780002156125e-07
9144,1.2669302422067603e-07
13804,1.262210425447004e-07
16434,1.2615255715008292e-07
17043,1.2548685423336514e-07
16072,1.2537870368488875e-07
5464,1.2526357706530743e-07
9758,1.2507071129424528e-07
9983,1.2425014437351372e-07
15546,1.231930289820493e-07
10563,1.227563381231909e-07
9191,1.226782514205786e-07
6532,1.2254391313390523e-07
10110,1.2209754246220957e-07
15152,1.2149490430839883e-07
2573,1.2126744266405868e-07
4512,1.2090301601809465e-07
6651,1.1982399104888187e-07
12366,1.1936736530456903e-07
17536,1.1912009019179062e-07
16620,1.189367022924261e-07
3493,1.1858761663955229e-07
7691,1.1811877542867483e-07
10901,1.18007653999523e-07
8984,1.1753460134639363e-07
3475,1.1753349887317272e-07
4634,1.1721098282879718e-07
14625,1.1702890314196387e-07
6755,1.1668360042841339e-07
4070,1.166345022633184e-07
9420,1.1615825921487983e-07
4830,1.1609717891898409e-07
12715,1.1580452041479807e-07
16616,1.1567798236312984e-07
6134,1.156632172145035e-07
14248,1.1506595055073081e-07
14169,1.149255678727987e-07
