sample,Gene_count,UMI_count,EdU,Type,time,Main_cluster_name,UMAP_1,UMAP_2,Mouse_id,assay,Trajectory,Pseudotime,Trajectory_UMAP1,Trajectory_UMAP2
2283,1384,3482,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.22265531,-1.448991388,EdU_33,RNA,Oligodendrogenesis trajectory,0.012588266,1.152727412,-1.781678694
538,1306,3149,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.12271691,-1.028520077,EdU_29,RNA,Oligodendrogenesis trajectory,0.012590598,1.411902474,-1.811752694
931,1660,4257,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.47221948,-2.688904494,EdU_31,RNA,Oligodendrogenesis trajectory,0.01446193,5.410007523,-3.343328136
725,1937,5922,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.214749347,0.268733643,EdU_31,RNA,Oligodendrogenesis trajectory,0.014610069,5.582367943,-3.341462987
834,2642,7739,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.067926417,0.78245458,EdU_31,RNA,Oligodendrogenesis trajectory,0.01472252,4.116778897,-0.461538809
2609,1399,3576,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.72176648,-1.590176791,EdU_33,RNA,Oligodendrogenesis trajectory,0.015021471,-0.39866109,-2.103863853
687,985,2070,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.712418567,-1.133924096,EdU_29,RNA,Oligodendrogenesis trajectory,0.015272684,3.214731263,-1.263758438
2276,1725,4566,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.123329173,-0.118448317,EdU_33,RNA,Oligodendrogenesis trajectory,0.015276498,3.410556839,-1.128073829
2332,1308,2799,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.081394206,0.075556472,EdU_33,RNA,Oligodendrogenesis trajectory,0.01527671,3.582230137,-1.195580261
2556,1432,4109,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.373339664,0.305926428,EdU_33,RNA,Oligodendrogenesis trajectory,0.015277134,3.530026959,-1.169707316
305,1409,3386,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.12716008,-1.640438169,EdU_31,RNA,Oligodendrogenesis trajectory,0.015318285,0.11271839,-1.637318152
751,1022,2301,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-11.04813958,-1.499798148,EdU_31,RNA,Oligodendrogenesis trajectory,0.015847453,0.162069009,-0.900077599
2201,1384,3125,DAPI,Aged,5D6,Oligodendrocytes progenitor cells,-10.93213082,-1.795019596,EdU_33,RNA,Oligodendrogenesis trajectory,0.015848513,-0.02868004,-0.799123424
2515,960,2115,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.96284963,-1.653603166,EdU_33,RNA,Oligodendrogenesis trajectory,0.015849573,0.080332087,-0.903867441
2580,1379,3371,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.68576337,-1.505070775,EdU_33,RNA,Oligodendrogenesis trajectory,0.015849785,-0.014552905,-0.921686667
2600,1019,2333,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.90213109,-1.476124256,EdU_33,RNA,Oligodendrogenesis trajectory,0.015850209,-0.03860779,-0.762936609
11954,837,1647,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-10.93913747,-1.569170922,EdU_33,RNA,Oligodendrogenesis trajectory,0.015850421,-0.192973448,-0.866434234
1060,2272,6926,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.546895038,-3.090357512,EdU_30,RNA,Oligodendrogenesis trajectory,0.016053727,1.225911425,-5.496875899
447,1118,2486,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.830122958,0.624585122,EdU_31,RNA,Oligodendrogenesis trajectory,0.016585444,3.788732575,-0.742871481
651,1964,5445,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.031154643,-0.086232096,EdU_31,RNA,Oligodendrogenesis trajectory,0.020430268,4.036315487,-0.995158332
562,1809,7998,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-8.343970309,0.431402445,EdU_31,RNA,Oligodendrogenesis trajectory,0.021870137,3.752950238,-0.917371886
2291,1558,4171,EdU,Aged,5D6,Oligodendrocytes progenitor cells,-9.574596416,0.185066145,EdU_33,RNA,Oligodendrogenesis trajectory,0.0272369,3.771959351,-0.871215957
