TF,Target
622,7955
13319,2586
16898,11123
13604,14723
14070,17475
10121,3493
10860,10218
6176,2693
2557,623
5905,623
2887,2378
11739,8879
5114,8878
16871,1076
15426,14204
11683,16714
17396,4131
623,2586
7127,6802
6134,2378
17227,8422
7130,15270
11739,15289
7071,14145
3481,9420
12597,12729
5826,16434
2674,17477
9095,3077
5964,17193
16188,15725
11724,14145
1389,13886
9416,4398
17706,14145
15227,12415
5847,4874
3909,3784
646,9156
17477,15725
186,1532
5209,12415
5363,16714
4751,15230
12588,2573
11341,4131
3481,15296
16912,8869
13604,9094
13287,14755
11534,7348
15643,14248
7698,12565
13761,4631
16241,12729
532,14755
2272,14755
10528,2586
5114,9182
17142,6802
695,14342
15311,9156
16050,9332
6312,16455
14003,6547
13644,4131
14612,3493
7486,13305
11706,12667
14432,14800
6311,5363
11317,14944
10182,12190
9861,6626
14300,8365
4891,13540
8632,4482
16912,14300
15227,13340
13195,13770
854,3852
5826,13644
13761,5289
4926,11774
7517,9107
970,17472
3644,14204
7517,14427
11993,3275
13282,8910
17534,10086
3997,5497
5114,16787
5821,7457
4835,17689
14070,13432
10182,10844
10276,14145
11602,13723
12366,5105
9629,15764
5209,7457
10999,6763
10182,9182
13584,623
661,3087
11993,16281
8195,12551
11965,8422
1447,8689
17534,14910
9192,940
9632,9095
715,9420
11431,3457
16227,16487
8869,2543
3441,7955
3686,856
15871,8910
422,8514
6052,11631
11713,14309
13581,7268
2674,13563
16281,5729
15891,13764
12594,15725
4254,14204
11993,14109
11718,8910
7201,16565
15227,7457
10827,10086
13655,4874
8431,2420
13604,10138
16898,6301
9283,8632
3212,14652
12366,14310
10775,14309
7666,6132
5826,15749
5114,2693
3512,17689
715,15296
11317,11348
16247,15725
10827,14910
10617,13742
14232,6832
14432,14939
14432,6778
11993,940
5647,10399
9401,14755
10539,12131
289,9107
10261,3637
14300,2586
6176,10844
661,8157
8157,623
3087,11315
10352,1211
6310,14145
11479,10120
13305,599
1447,10451
7486,16616
15160,960
7759,11777
13770,7955
10182,3574
743,9110
7486,13515
4844,8422
289,14427
